City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Sola,VU,-13.88,167.55,80.65,77,56,12.37,moderate rain
184,Robertsport,LR,6.75,-11.37,79.56,80,95,5.86,overcast clouds
185,Bam,IR,29.11,58.36,76.39,23,1,10.71,clear sky
186,Meadow Lake,US,34.80,-106.54,46.0,46,1,8.5,clear sky
187,Bukama,CD,-9.20,25.85,77.07,73,91,6.08,overcast clouds
188,Inhambane,MZ,-23.86,35.38,81.75,66,69,9.64,broken clouds
189,Hitoyoshi,JP,32.22,130.75,58.64,91,0,2.06,clear sky
190,Codrington,AU,-38.27,141.97,62.15,88,70,7.43,broken clouds
191,Zhigansk,RU,66.77,123.37,-11.02,94,100,2.93,overcast clouds
192,Sao Filipe,CV,14.90,-24.50,79.25,62,25,4.56,scattered clouds
193,Birao,CF,10.28,22.79,97.61,14,7,9.08,clear sky
194,Poanas,MX,25.77,-103.62,58.93,38,0,4.16,clear sky
195,Tuktoyaktuk,CA,69.45,-133.04,4.19,83,100,9.57,overcast clouds
196,Portland,US,45.52,-122.68,38.61,94,100,9.22,overcast clouds
197,Iqaluit,CA,63.75,-68.51,1.87,83,91,5.99,overcast clouds
198,Georgetown,MY,5.41,100.34,84.15,75,20,7.0,few clouds
199,Lesnoy,RU,57.62,63.08,29.28,95,83,3.69,broken clouds
200,Dawlatabad,AF,36.41,64.91,56.7,63,100,8.16,overcast clouds
